"from","to","origin","destination","distance_m","duration_s","tolls_yuan","source"
"海拉尔区","牙克石市","119.824542,49.234715","120.711639,49.285947","72576","3267","22","amap_direction_driving"
"牙克石市","免渡河镇","120.711639,49.285947","121.048896,49.094153","38513","2543","0","amap_direction_driving"
"免渡河镇","乌尔旗汗镇","121.048896,49.094153","121.385249,49.565834","103142","8403","0","amap_direction_driving"
"乌尔旗汗镇","库都尔镇","121.385249,49.565834","121.623050,50.029263","75476","8031","0","amap_direction_driving"
"库都尔镇","图里河镇","121.623050,50.029263","121.672987,50.482493","67840","6808","0","amap_direction_driving"
"图里河镇","伊图里河镇","121.672987,50.482493","121.549123,50.636857","29405","3018","0","amap_direction_driving"
"伊图里河镇","根河市","121.549123,50.636857","121.520165,50.779758","21631","1540","0","amap_direction_driving"
"根河市","克一河镇","121.520165,50.779758","122.495903,50.650994","86156","3880","0","amap_direction_driving"
"克一河镇","吉文镇","122.495903,50.650994","123.202224,50.576340","55444","2658","16","amap_direction_driving"
"吉文镇","甘河镇","123.202224,50.576340","123.050544,50.632735","14963","959","0","amap_direction_driving"
"甘河镇","阿里河镇","123.050544,50.632735","123.724613,50.599909","61155","2827","15","amap_direction_driving"
"阿里河镇","大杨树镇","123.724613,50.599909","124.625848,49.737245","145269","7277","20","amap_direction_driving"
"大杨树镇","加格达奇区","124.625848,49.737245","124.139742,50.408822","99444","5077","0","amap_direction_driving"
