"name","formatted_address","province","city","district","adcode","location","source"
"海拉尔区","内蒙古自治区呼伦贝尔市海拉尔区","内蒙古自治区","呼伦贝尔市","海拉尔区","150702","119.824542,49.234715","amap_geocode"
"牙克石市","内蒙古自治区呼伦贝尔市牙克石市","内蒙古自治区","呼伦贝尔市","牙克石市","150782","120.711639,49.285947","amap_geocode"
"免渡河镇","内蒙古自治区呼伦贝尔市牙克石市免渡河镇","内蒙古自治区","呼伦贝尔市","牙克石市","150782","121.048896,49.094153","amap_geocode"
"乌尔旗汗镇","内蒙古自治区呼伦贝尔市牙克石市乌尔旗汗镇","内蒙古自治区","呼伦贝尔市","牙克石市","150782","121.385249,49.565834","amap_geocode"
"库都尔镇","内蒙古自治区呼伦贝尔市牙克石市库都尔镇","内蒙古自治区","呼伦贝尔市","牙克石市","150782","121.623050,50.029263","amap_geocode"
"图里河镇","内蒙古自治区呼伦贝尔市牙克石市图里河镇","内蒙古自治区","呼伦贝尔市","牙克石市","150782","121.672987,50.482493","amap_geocode"
"伊图里河镇","内蒙古自治区呼伦贝尔市牙克石市伊图里河镇","内蒙古自治区","呼伦贝尔市","牙克石市","150782","121.549123,50.636857","amap_geocode"
"根河市","内蒙古自治区呼伦贝尔市根河市","内蒙古自治区","呼伦贝尔市","根河市","150785","121.520165,50.779758","amap_geocode"
"克一河镇","内蒙古自治区呼伦贝尔市鄂伦春自治旗克一河镇","内蒙古自治区","呼伦贝尔市","鄂伦春自治旗","150723","122.495903,50.650994","amap_geocode"
"吉文镇","内蒙古自治区呼伦贝尔市鄂伦春自治旗吉文镇","内蒙古自治区","呼伦贝尔市","鄂伦春自治旗","150723","123.202224,50.576340","amap_geocode"
"甘河镇","甘河镇 POI override",,,,"150723","123.050544,50.632735","amap_place_text_override"
"阿里河镇","阿里河镇 POI override",,,,"150723","123.724613,50.599909","amap_place_text_override"
"大杨树镇","大杨树镇 POI override",,,,"150723","124.625848,49.737245","amap_place_text_override"
"加格达奇区","黑龙江省大兴安岭地区加格达奇区","黑龙江省","大兴安岭地区","加格达奇区","232718","124.139742,50.408822","amap_geocode"
