"id","query","name","type","address","adname","location","pname","cityname","tel","source"
"B01C90LNSB","加格达奇林场","加格达奇林业局白桦林场","公司企业;农林牧渔基地;其它农林牧渔基地","加格达奇林业局","加格达奇区","124.202470,50.233703","黑龙江省","大兴安岭地区","","amap_place_text"
"B01C90LNSB","加格达奇林业局","加格达奇林业局白桦林场","公司企业;农林牧渔基地;其它农林牧渔基地","加格达奇林业局","加格达奇区","124.202470,50.233703","黑龙江省","大兴安岭地区","","amap_place_text"
"B01C90LPEX","加格达奇林业局","加格达奇林业局","政府机构及社会团体;政府机关;区县级政府及事业单位","晨光街","加格达奇区","124.130594,50.415803","黑龙江省","大兴安岭地区","","amap_place_text"
"B01C90LX3V","加格达奇林业局","加格达奇区政府红旗街道办事处","政府机构及社会团体;政府机关;乡镇级政府及事业单位","林业加油站东侧","加格达奇区","124.124908,50.429592","黑龙江省","大兴安岭地区","","amap_place_text"
"B01D600CWH","海拉尔林业局","哈尔滨铁路林业管理局海拉尔分局","政府机构及社会团体;政府机关;区县级政府及事业单位","海拉尔铁路靠山街190号海拉尔铁路分局林业管理所附近","海拉尔区","119.725875,49.229555","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D600GIY","根河林业局","内蒙古自治区根河森林公安局","政府机构及社会团体;公检法机构;公安警察","河东街道林海路(根河大酒店对面)","根河市","121.536203,50.783782","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D600H1A","根河林业局","内蒙古根河林业局森林调查设计大队","政府机构及社会团体;政府机关;区县级政府及事业单位","中央路与新开街交叉口西80米","根河市","121.542699,50.781215","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D600H46","阿里河林场","内蒙古阿里河森林公安局","政府机构及社会团体;公检法机构;公安警察","龙华路与文化街交叉口东南60米","鄂伦春自治旗","123.730948,50.587708","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D600H46","阿里河林业局","内蒙古阿里河森林公安局","政府机构及社会团体;公检法机构;公安警察","龙华路与文化街交叉口东南60米","鄂伦春自治旗","123.730948,50.587708","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D600H7R","阿里河林场","阿里河林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","中央路264号附近","鄂伦春自治旗","123.724613,50.599909","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D600H7R","阿里河林业局","阿里河林业局","政府机构及社会团体;政府机关;乡镇级政府及事业单位","中央路264号附近","鄂伦春自治旗","123.724613,50.599909","内蒙古自治区","呼伦贝尔市","","amap_place_text"
"B01D600H80","阿里河林业局","拓跋鲜卑历史文化园","风景名胜;风景名胜;风景名胜","阿里河镇西北9公里","鄂伦春自治旗","123.667442,50.618581","内蒙古自治区","呼伦贝尔市","0470-2398888","amap_place_text"
"B01D600HJR","阿里河林场","阿里河林业宾馆","住宿服务;宾馆酒店;宾馆酒店","阿里河镇中央街39号","鄂伦春自治旗","123.730133,50.583565","内蒙古自治区","呼伦贝尔市","0470-5693739;0470-5693748","amap_place_text"
"B01D600HJR","阿里河林业局","阿里河林业宾馆","住宿服务;宾馆酒店;宾馆酒店","阿里河镇中央街39号","鄂伦春自治旗","123.730133,50.583565","内蒙古自治区","呼伦贝尔市","0470-5693739;0470-5693748","amap_place_text"
